"","x"
"302",-12.5189529030389
"303",-12.5557394581407
"304",-12.5923760145203
"305",-12.6467222974168
"306",-12.6951762425262
"307",-12.7420396152137
"308",-12.8002005617074
"309",-12.845634416971
"310",-12.8646507308088
"311",-12.8702632910791
"312",-12.8910777206375
"313",-12.9223247510435
"314",-12.9555398717173
"315",-12.9877056722059
"316",-13.0139658031762
"317",-13.0338436810353
"318",-13.0614761583029
"319",-13.0908982995896
"320",-13.1155260175687
"321",-13.154595912231
"322",-13.1850623414532
"323",-13.208691872068
"324",-13.231793275008
"325",-13.2572409802075
"326",-13.2900310894914
"327",-13.3192646582987
"328",-13.3404376708393
"329",-13.3559285873302
"330",-13.3732857321651
"331",-13.4001515673691
"332",-13.4336917964809
"333",-13.4576981984375
"334",-13.4854575996431
"335",-13.5282612393515
"336",-13.5505576265357
"337",-13.581004401274
"338",-13.6209553338544
"339",-13.6633163761189
"340",-13.6839576448282
"341",-13.6837951665737
"342",-13.6982301817223
"343",-13.7078128460122
"344",-13.7125356931661
"345",-13.719028616673
"346",-13.7214676651932
"347",-13.7218853021273
"348",-13.7243302957424
"349",-13.7063315032866
"350",-13.6913258637524
"351",-13.6741622826663
"352",-13.6385083038968
"353",-13.6093831013984
"354",-13.5811909104934
"355",-13.542020122524
"356",-13.4989754665153
"357",-13.4658107412826
"358",-13.4338535159532
"359",-13.3988002207252
"360",-13.3680042919614
"361",-13.324760945633
"362",-13.256671061325
"363",-13.2003016307707
"364",-13.1492080649474
"365",-13.1066299578227
"366",-13.0708187810246
"367",-13.0297040958312
"368",-12.9851663758155
"369",-12.9628808476633
"370",-12.9312145542301
"371",-12.9064418794477
"372",-12.8905326061122
"373",-12.8616448631632
"374",-12.8312629741622
"375",-12.798199393347
"376",-12.7621110566785
"377",-12.731944309513
"378",-12.7076684725862
"379",-12.6776514725529
"380",-12.6435179371421
"381",-12.6085519013615
"382",-12.5777045652133
"383",-12.5459869884604
"384",-12.5150925364341
"385",-12.4770982496504
"386",-12.4446763475549
"387",-12.4192135728939
"388",-12.3779467457108
"389",-12.335767753498
"390",-12.3028909544039
"391",-12.2669190309276
"392",-12.2141663319618
"393",-12.150522121235
"394",-12.0848867398242
"395",-12.0308366635079
"396",-11.97804191018
"397",-11.9124055137531
"398",-11.836870313888
"399",-11.7817405322025
"400",-11.7354838048216
"401",-11.7080751434579
"402",-11.6754840766279
"403",-11.6476061709305
"404",-11.6141508396992
"405",-11.5597788519945
"406",-11.4863266951654
"407",-11.4192682277981
"408",-11.3542267889123
"409",-11.2631661129641
"410",-11.1905916449738
"411",-11.132585609926
"412",-11.0855597223822
"413",-11.038177062105
"414",-10.981699067734
"415",-10.921277317917
"416",-10.8818681916596
"417",-10.8425701683052
"418",-10.8142402809995
"419",-10.7795866420651
"420",-10.7336193035175
"421",-10.6915187693306
"422",-10.6565689589419
"423",-10.6054142966297
"424",-10.5638458075696
"425",-10.5175448626975
"426",-10.4846670454198
"427",-10.4678011697171
"428",-10.4282408936797
"429",-10.404806212046
"430",-10.3775828586243
"431",-10.356370968429
"432",-10.3333963042373
"433",-10.3279826359233
"434",-10.3197669975523
"435",-10.3184813176563
"436",-10.3285281150917
"437",-10.3331653070849
"438",-10.3385576996955
"439",-10.3516160852293
"440",-10.3646223137425
"441",-10.3720217850789
"442",-10.3784956903497
"443",-10.3676910610546
"444",-10.3392410239572
"445",-10.2924394908583
"446",-10.2519751610695
"447",-10.2155003817324
"448",-10.1740996663302
"449",-10.1428155787447
"450",-10.1093192919868
"451",-10.0707988357295
"452",-10.0267801505226
"453",-9.97284660758809
"454",-9.92951189980808
"455",-9.89879867244923
"456",-9.86923544489771
"457",-9.84618125867886
"458",-9.82350754682016
"459",-9.81184842454145
"460",-9.78344994171068
"461",-9.7528284968048
"462",-9.72247323646251
"463",-9.70748051488554
"464",-9.67282191065343
"465",-9.64281094380991
"466",-9.60634165074184
"467",-9.59077638329262
"468",-9.56680658432903
"469",-9.53113793192315
"470",-9.4947710022509
"471",-9.45656865477671
"472",-9.42389872694177
"473",-9.39341177755092
"474",-9.37500588769038
"475",-9.35231698531313
"476",-9.33217188747543
"477",-9.29212248864158
"478",-9.25611169847399
"479",-9.22328605064277
"480",-9.18477694992557
"481",-9.14454822837723
"482",-9.09364862372124
"483",-9.06188730827756
"484",-9.03699470200724
"485",-9.00188960746241
"486",-8.98063116426154
"487",-8.96013720483872
"488",-8.92090651972548
"489",-8.89607331481558
"490",-8.86161494863076
"491",-8.82184660858231
"492",-8.77108123994358
"493",-8.73319181302961
"494",-8.69003623158355
"495",-8.64586190170832
"496",-8.60499996990085
"497",-8.55158706336038
"498",-8.49274003016269
"499",-8.43414468450694
"500",-8.3604133537285
