"","x"
"1",0.0068692844455493
"2",0.0103681463398617
"3",0.0129740667735092
"4",0.018132073149067
"5",0.0197464658074614
"6",0.0210410715578048
"7",0.0179423869191969
"8",0.0133858102000454
"9",0.00760283810457762
"10",-0.00887234529045059
"11",-0.0269534163383986
"12",-0.0435453039222204
"13",-0.0618779642246613
"14",-0.0725801300901567
"15",-0.0899320141138414
"16",-0.114626869583797
"17",-0.13729235292394
"18",-0.150823990167803
"19",-0.146195201261838
"20",-0.139512634575247
"21",-0.137420227760925
"22",-0.138151612174129
"23",-0.133835263701381
"24",-0.132111829218908
"25",-0.127748033194911
"26",-0.124131511152548
"27",-0.12213300710493
"28",-0.118854703639967
"29",-0.115892903611827
"30",-0.113800876303287
"31",-0.104590206559513
"32",-0.10350889523484
"33",-0.096931849391804
"34",-0.0846484880193854
"35",-0.0747732323811538
"36",-0.0766763108171213
"37",-0.0763853594235116
"38",-0.0834459323117792
"39",-0.0888596140298368
"40",-0.0965312184469669
"41",-0.098191563466437
"42",-0.100240572282966
"43",-0.102981687412634
"44",-0.10901997878437
"45",-0.119648331943339
"46",-0.131019086365904
"47",-0.138782577817507
"48",-0.141872577193486
"49",-0.146745457667665
"50",-0.151605620372247
"51",-0.152768784465783
"52",-0.159540031383053
"53",-0.159885086883843
"54",-0.167717330334967
"55",-0.180164345706812
"56",-0.190285029413333
"57",-0.2067261025041
"58",-0.222962701687649
"59",-0.234849312674849
"60",-0.247594056460464
"61",-0.258754822966668
"62",-0.267326902194554
"63",-0.292331323801712
"64",-0.312508920999493
"65",-0.332324909172019
"66",-0.354481524784521
"67",-0.373513832698656
"68",-0.391979107773913
"69",-0.413626729276683
"70",-0.421580951277541
"71",-0.43215300575139
"72",-0.449519616350165
"73",-0.463833212200402
"74",-0.47706731006749
"75",-0.493766415949618
"76",-0.510320897450685
"77",-0.514129351977908
"78",-0.524922834833467
"79",-0.532563655623124
"80",-0.532368761762274
"81",-0.524856910405361
"82",-0.50243624836885
"83",-0.480253897724006
"84",-0.467031996775971
"85",-0.456838755797829
"86",-0.443366599698157
"87",-0.435935488829471
"88",-0.429386885768042
"89",-0.422310376469357
"90",-0.419037160841777
"91",-0.416460742018286
"92",-0.40601224041263
"93",-0.388330107956212
"94",-0.375636548455251
"95",-0.370077901832639
"96",-0.3725491145994
"97",-0.364464322747229
"98",-0.355640453027487
"99",-0.348914814912433
"100",-0.342641399749697
"101",-0.332828098164866
"102",-0.335455127184903
"103",-0.333998093019892
"104",-0.32585841354103
"105",-0.321254907831368
"106",-0.321668477324258
"107",-0.32436420484085
"108",-0.325402617146864
"109",-0.330757421180436
"110",-0.329234520146906
"111",-0.31927976024203
"112",-0.304008397456792
"113",-0.301010986423792
"114",-0.295344857665661
